t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
0.0000000000e+00 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -3 0
1.0000000000e-03 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -3 0
1.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
5.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
6.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
7.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
8.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
9.1000000000e-02 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.0100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.1100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.2100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.3100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.4100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.5100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.6100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.7100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.8100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
1.9100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.0100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.1100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
